,0
0,86.10575278343346
1,75.99539352421957
2,53.830806166449804
3,81.89364103033769
4,75.25109470421123
5,71.85380611681086
6,55.96093878611017
7,64.14457271403867
8,67.1309701442442
9,43.16290254799898
10,88.28460385603226
11,85.7861158062306
12,40.976528777645385
13,81.12099042979403
14,76.29473603057123
15,61.22598474083294
16,73.146237682516
17,71.56135403138789
18,89.09200589624798
19,52.02020906975548
20,69.93924306302311
21,58.29306745318255
22,84.89803825169467
23,53.784244957432655
24,53.89263053768542
25,88.52607221933252
26,86.62262122502888
27,85.54451310936459
28,66.74623653833164
29,47.561412280074286
30,60.17080425034328
31,45.66217693990805
32,44.719258088838906
33,46.64871341711233
34,45.53205744348335
35,79.66165120593635
36,45.81285968994383
37,66.36600868483306
38,57.69820618965553
39,66.45180234145478
40,56.226137503517855
41,87.07350212385644
42,85.95931522302317
43,82.50067682559435
44,66.63823600311385
45,87.59118758126453
46,81.13883401321519
47,74.38807148381332
48,44.15672672737294
49,68.75614400526945
50,49.54085136053521
51,59.08372715515438
52,48.86118949079742
53,59.52022278152207
54,64.66472543151276
55,50.86081891063718
56,40.35003601904106
57,68.78766048793561
58,51.395574195485224
59,83.79670746833067
60,87.7209632750931
61,87.58329099799906
62,48.06544566781534
63,59.26001839539813
64,77.74402714078524
65,57.14096463909379
66,44.71904643158475
67,89.72635203374887
68,76.09470718545919
69,65.34227766847083
70,46.17300932333556
71,89.00888904730567
72,65.51825361115647
73,85.43039801998614
74,48.20342686164694
75,56.231263154021995
76,68.0371959830618
77,46.99955055256568
78,57.55835744909917
79,88.87043280640468
80,43.38867212933492
81,73.19480284346555
82,73.60410255248107
83,80.68544262602691
84,85.42306051314604
85,73.83185351840666
86,66.19281833436425
87,62.44560628077099
88,72.79540606670744
89,86.68801306171518
90,44.73526261584894
91,70.08876221534875
92,84.38260088743898
93,77.02353472427627
94,79.07875698027902
95,72.21416877512179
96,47.701118248650126
97,67.57541016156402
98,53.77702448318757
99,52.20644683661511
